Academic Year,College/School,Division,Department,Major,Degree,Average GPA,Headcount
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Economics,Economics,Bachelor of Arts,3.448913758,487
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Pol Econ of Indust Soc,Bachelor of Arts,3.261056075,214
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Peace & Conflict Studies,Bachelor of Arts,3.536848485,66
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Cognitive Science,Bachelor of Arts,3.222650794,63
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Development Studies,Bachelor of Arts,3.606489796,49
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Latin American Studies,Bachelor of Arts,3.420478261,23
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Asian Studies - China,Bachelor of Arts,3.307714286,14
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Political Economy,Bachelor of Arts,3.324307692,13
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Middle Eastern Studies,Bachelor of Arts,3.688428571,7
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Asian Studies - Japan,Bachelor of Arts,3.4892,5
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Political Science,Political Science,Bachelor of Arts,3.353752232,448
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Psychology,Psychology,Bachelor of Arts,3.471808917,314
2009-10,Clg of Letters & Science,L&S Social Sciences Division,History,History,Bachelor of Arts,3.454495763,236
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Sociology,Sociology,Bachelor of Arts,3.264410138,217
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Anthropology,Anthropology,Bachelor of Arts,3.419120301,133
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Ethnic Studies,Bachelor of Arts,3.303367347,49
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Chicano Studies,Bachelor of Arts,3.167315789,19
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Asian American Studies,Bachelor of Arts,3.2482,10
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Linguistics,Linguistics,Bachelor of Arts,3.4234,55
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Geography,Geography,Bachelor of Arts,3.3775,30
2009-10,Clg of Letters & Science,L&S Social Sciences Division,African American Studies,African American Studies,Bachelor of Arts,3.019,15
2009-10,Clg of Letters & Science,L&S Social Sciences Division,Gender & Womens Studies,Gender & Womens Studies,Bachelor of Arts,3.539166667,12
2009-10,Clg of Letters & Science,L&S Arts & Humanities Division,English,English,Bachelor of Arts,3.410517442,344
2009-10,Clg of Letters & Science,L&S Arts & Humanities Division,Rhetoric,Rhetoric,Bachelor of Arts,3.468140351,114
2009-10,Clg of Letters & Science,L&S Arts & Humanities Division,Philosophy,Philosophy,Bachelor of Arts,3.266495238,105
2009-10,Clg of Letters & Science,L&S Arts & Humanities Division,Art Practice,Art,Bachelor of Arts,3.432192771,83
2009-10,Clg of Letters & Science,L&S Arts & Humanities Division,Film and Media,Film,Bachelor of Arts,3.3936,75
2009-10,Clg of Letters & Science,L&S Arts & Humanities Division,History of Art,History of Art,Bachelor of Arts,3.448723077,65
2009-10,Clg of Letters & Science,L&S Arts & Humanities Division,East Asian Lang & Culture,Japanese Language,Bachelor of Arts,3.534761905,42
2009-10,Clg of Letters & Science,L&S Arts & Humanities Division,East Asian Lang & Culture,Chinese Language,Bachelor of Arts,3.3516,10
2009-10,Clg of Letters & Science,L&S Arts & Humanities Division,Music,Music,Bachelor of Arts,3.489574468,47
2009-10,Clg of Letters & Science,L&S Arts & Humanities Division,Spanish & Portuguese,Spanish-Spanish Lang & Lit,Bachelor of Arts,3.345434783,23
2009-10,Clg of Letters & Science,L&S Arts & Humanities Division,Spanish & Portuguese,Spanish-Hisp Lang/Biling Iss,Bachelor of Arts,3.485666667,9
2009-10,Clg of Letters & Science,L&S Arts & Humanities Division,Spanish & Portuguese,Spanish-Latin-Amer Lang & Lit,Bachelor of Arts,3.629,8
2009-10,Clg of Letters & Science,L&S Arts & Humanities Division,Spanish & Portuguese,Spanish-Luso-Brazil Lang & Lit,Bachelor of Arts,3.5072,5
2009-10,Clg of Letters & Science,L&S Arts & Humanities Division,Theater Dance & Perf Stds,Theater & Perf Studies,Bachelor of Arts,3.511241379,29
2009-10,Clg of Letters & Science,L&S Arts & Humanities Division,Classics,Classical Civilizations,Bachelor of Arts,3.377428571,21
2009-10,Clg of Letters & Science,L&S Arts & Humanities Division,Classics,Classical Languages,Bachelor of Arts,3.686428571,7
2009-10,Clg of Letters & Science,L&S Arts & Humanities Division,Classics,Latin,Bachelor of Arts,3.5138,5
2009-10,Clg of Letters & Science,L&S Arts & Humanities Division,French,French,Bachelor of Arts,3.6511,30
2009-10,Clg of Letters & Science,L&S Arts & Humanities Division,Comparative Literature,Comparative Literature,Bachelor of Arts,3.612333333,27
2009-10,Clg of Letters & Science,L&S Arts & Humanities Division,Near Eastern Studies,Near Eastern Lang & Lit,Bachelor of Arts,3.640222222,18
2009-10,Clg of Letters & Science,L&S Arts & Humanities Division,Near Eastern Studies,Near Eastern Civilizations,Bachelor of Arts,3.368555556,9
2009-10,Clg of Letters & Science,L&S Arts & Humanities Division,South & SE Asian Studies,South & SE Asian Studies,Bachelor of Arts,3.447736842,19
2009-10,Clg of Letters & Science,L&S Arts & Humanities Division,German,German,Bachelor of Arts,3.529705882,17
2009-10,Clg of Letters & Science,L&S Arts & Humanities Division,Slavic Languages & Literatures,Slavic Lang & Lit,Bachelor of Arts,3.569642857,14
2009-10,Clg of Letters & Science,L&S Arts & Humanities Division,Scandinavian,Celtic Studies,Bachelor of Arts,3.453555556,9
2009-10,Clg of Letters & Science,L&S Arts & Humanities Division,Italian Studies,Italian Studies,Bachelor of Arts,3.409,7
2009-10,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,MCB-Cell & Dev Biology,Bachelor of Arts,3.412033654,208
2009-10,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,MCB-Immunology,Bachelor of Arts,3.393785714,112
2009-10,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,MCB-Neurobiology,Bachelor of Arts,3.448447619,105
2009-10,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,MCB-Biochem & Mol Biol,Bachelor of Arts,3.554018182,55
2009-10,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,MCB-Genetics,Bachelor of Arts,3.351418605,43
2009-10,Clg of Letters & Science,L&S Biological Sciences Div,Integrative Biology,Integrative Biology,Bachelor of Arts,3.250956522,276
2009-10,Clg of Letters & Science,L&S Administered Programs,L&S Public Health,L&S Public Health,Bachelor of Arts,3.433460432,139
2009-10,Clg of Letters & Science,L&S Administered Programs,L&S Legal Studies,L&S Legal Studies,Bachelor of Arts,3.189492308,130
2009-10,Clg of Letters & Science,L&S Administered Programs,L&S Social Welfare,L&S Social Welfare,Bachelor of Arts,3.273465517,116
2009-10,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science,Bachelor of Arts,3.231785714,84
2009-10,Clg of Letters & Science,L&S Administered Programs,L&S Envir Econ & Policy,L&S Environ Econ & Policy,Bachelor of Arts,2.954144578,83
2009-10,Clg of Letters & Science,L&S Administered Programs,L&S Ops Rsch & Mgmt Sci,L&S Ops Research & Mgmt Sci,Bachelor of Arts,3.425888889,9
2009-10,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,Interdisciplinary Studies,Bachelor of Arts,3.23093617,141
2009-10,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,Mass Communications,Bachelor of Arts,3.383824,125
2009-10,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,American Studies,Bachelor of Arts,3.110842105,114
2009-10,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,Media Studies,Bachelor of Arts,3.303977778,90
2009-10,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,Religious Studies,Bachelor of Arts,3.504789474,19
2009-10,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,L&S Environmental Sciences,Bachelor of Arts,3.238,5
2009-10,Clg of Letters & Science,L&S Math & Phys Sciences Div,Mathematics,Applied Mathematics,Bachelor of Arts,3.23055,100
2009-10,Clg of Letters & Science,L&S Math & Phys Sciences Div,Mathematics,Mathematics,Bachelor of Arts,3.366036145,83
2009-10,Clg of Letters & Science,L&S Math & Phys Sciences Div,Physics,Physics,Bachelor of Arts,3.311162162,74
2009-10,Clg of Letters & Science,L&S Math & Phys Sciences Div,Statistics,Statistics,Bachelor of Arts,3.304465753,73
2009-10,Clg of Letters & Science,L&S Math & Phys Sciences Div,Earth & Planetary Science,Geology,Bachelor of Arts,3.222923077,13
2009-10,Clg of Letters & Science,L&S Math & Phys Sciences Div,Earth & Planetary Science,Marine Science,Bachelor of Arts,3.46475,8
2009-10,Clg of Letters & Science,L&S Math & Phys Sciences Div,Earth & Planetary Science,Environmental Earth Science,Bachelor of Arts,2.8916,5
2009-10,Clg of Letters & Science,L&S Math & Phys Sciences Div,Astronomy,Astrophysics,Bachelor of Arts,3.090928571,28
2009-10,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci,Bachelor of Science,3.317682836,268
2009-10,Clg of Engineering,Clg of Engineering,Mechanical Engineering,Mechanical Engineering,Bachelor of Science,3.242327273,165
2009-10,Clg of Engineering,Clg of Engineering,Bioengineering,Bioengineering,Bachelor of Science,3.480775862,116
2009-10,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Civil Engineering,Bachelor of Science,3.171558559,111
2009-10,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Research,Industrial Eng & Ops Rsch,Bachelor of Science,3.3775,46
2009-10,Clg of Engineering,Clg of Engineering,Engineering Science,Engineering Physics,Bachelor of Science,3.5405,12
2009-10,Clg of Engineering,Clg of Engineering,Engineering Science,Eng Math & Statistics,Bachelor of Science,3.555714286,7
2009-10,Clg of Engineering,Clg of Engineering,Engineering Joint Programs,MSE/ME Joint Major,Bachelor of Science,3.348846154,13
2009-10,Clg of Engineering,Clg of Engineering,Engineering Joint Programs,EECS/MSE Joint Major,Bachelor of Science,3.5452,5
2009-10,Clg of Engineering,Clg of Engineering,Materials Science & Eng,Materials Science & Eng,Bachelor of Science,3.357590909,22
2009-10,Clg of Engineering,Clg of Engineering,Nuclear Engineering,Nuclear Engineering,Bachelor of Science,3.31775,8
2009-10,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Molecular Environ Biology,Bachelor of Science,3.247932432,74
2009-10,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Conserv & Resource Stds,Bachelor of Science,3.446014493,69
2009-10,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Society and Environment,Bachelor of Science,3.388043478,46
2009-10,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Environmental Sciences,Bachelor of Science,3.310210526,38
2009-10,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Forestry & Natural Resources,Bachelor of Science,3.394,13
2009-10,Clg of Natural Resources,Clg of Natural Resources,Nutritional Sciences & Tox,Nut Sci-Physio & Metabol,Bachelor of Science,3.274081633,49
2009-10,Clg of Natural Resources,Clg of Natural Resources,Nutritional Sciences & Tox,Molecular Toxicology,Bachelor of Science,3.166653846,26
2009-10,Clg of Natural Resources,Clg of Natural Resources,Nutritional Sciences & Tox,Nutritional Sci-Dietetics,Bachelor of Science,3.496136364,22
2009-10,Clg of Natural Resources,Clg of Natural Resources,Ag & Resource Econ & Pol,Environ Econ & Policy,Bachelor of Science,3.338289474,76
2009-10,Clg of Natural Resources,Clg of Natural Resources,Plant & Microbial Biology,Microbial Biology,Bachelor of Science,3.128590909,44
2009-10,Clg of Natural Resources,Clg of Natural Resources,Plant & Microbial Biology,Genetics & Plant Biology,Bachelor of Science,3.38175,8
2009-10,Haas School of Business,Haas School of Business,Business,Business Administration,Bachelor of Science,3.569902208,317
2009-10,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,Bachelor of Arts,3.247704403,159
2009-10,Clg of Environmental Design,Clg of Environmental Design,City & Regional Planning,Urban Studies,Bachelor of Arts,3.37864,25
2009-10,Clg of Environmental Design,Clg of Environmental Design,Landscape Arch & Env Plan,Landscape Architecture,Bachelor of Arts,3.614888889,9
2009-10,Clg of Chemistry,Clg of Chemistry,Chemistry,Chemical Biology,Bachelor of Science,3.21490411,73
2009-10,Clg of Chemistry,Clg of Chemistry,Chemistry,Chemistry,Bachelor of Science,3.304448276,29
2009-10,Clg of Chemistry,Clg of Chemistry,Chem & Biomolecular Eng,Chemical Engineering,Bachelor of Science,3.256084337,83
2009-10,Clg of Chemistry,Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/MSE Joint Major,Bachelor of Science,3.077833333,6
2010-11,Clg of Letters & Science,L&S Social Sciences Division,Economics,Economics,Bachelor of Arts,3.429870334,509
2010-11,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Political Economy,Bachelor of Arts,3.276519084,131
2010-11,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Pol Econ of Indust Soc,Bachelor of Arts,3.309116279,129
2010-11,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Cognitive Science,Bachelor of Arts,3.217873418,79
2010-11,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Peace & Conflict Studies,Bachelor of Arts,3.541857143,70
2010-11,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Development Studies,Bachelor of Arts,3.536206897,58
2010-11,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Latin American Studies,Bachelor of Arts,3.206733333,15
2010-11,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Middle Eastern Studies,Bachelor of Arts,3.633714286,14
2010-11,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Asian Studies - China,Bachelor of Arts,3.531384615,13
2010-11,Clg of Letters & Science,L&S Social Sciences Division,Political Science,Political Science,Bachelor of Arts,3.35287822,427
2010-11,Clg of Letters & Science,L&S Social Sciences Division,Psychology,Psychology,Bachelor of Arts,3.511716763,346
2010-11,Clg of Letters & Science,L&S Social Sciences Division,Sociology,Sociology,Bachelor of Arts,3.310247967,246
2010-11,Clg of Letters & Science,L&S Social Sciences Division,History,History,Bachelor of Arts,3.448660714,224
2010-11,Clg of Letters & Science,L&S Social Sciences Division,Anthropology,Anthropology,Bachelor of Arts,3.430758065,124
2010-11,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Ethnic Studies,Bachelor of Arts,3.420823529,51
2010-11,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Chicano Studies,Bachelor of Arts,3.295,17
2010-11,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Asian American Studies,Bachelor of Arts,3.275545455,11
2010-11,Clg of Letters & Science,L&S Social Sciences Division,Linguistics,Linguistics,Bachelor of Arts,3.489118644,59
2010-11,Clg of Letters & Science,L&S Social Sciences Division,Gender & Womens Studies,Gender & Womens Studies,Bachelor of Arts,3.385642857,28
2010-11,Clg of Letters & Science,L&S Social Sciences Division,Geography,Geography,Bachelor of Arts,3.280307692,26
2010-11,Clg of Letters & Science,L&S Social Sciences Division,African American Studies,African American Studies,Bachelor of Arts,3.209176471,17
2010-11,Clg of Letters & Science,L&S Arts & Humanities Division,English,English,Bachelor of Arts,3.478539157,332
2010-11,Clg of Letters & Science,L&S Arts & Humanities Division,Philosophy,Philosophy,Bachelor of Arts,3.366884956,113
2010-11,Clg of Letters & Science,L&S Arts & Humanities Division,Rhetoric,Rhetoric,Bachelor of Arts,3.445982143,112
2010-11,Clg of Letters & Science,L&S Arts & Humanities Division,Art Practice,Art,Bachelor of Arts,3.494769231,91
2010-11,Clg of Letters & Science,L&S Arts & Humanities Division,History of Art,History of Art,Bachelor of Arts,3.402226667,75
2010-11,Clg of Letters & Science,L&S Arts & Humanities Division,East Asian Lang & Culture,Japanese Language,Bachelor of Arts,3.510548387,31
2010-11,Clg of Letters & Science,L&S Arts & Humanities Division,East Asian Lang & Culture,Chinese Language,Bachelor of Arts,3.35125,20
2010-11,Clg of Letters & Science,L&S Arts & Humanities Division,Film and Media,Film,Bachelor of Arts,3.27355102,49
2010-11,Clg of Letters & Science,L&S Arts & Humanities Division,Spanish & Portuguese,Spanish-Spanish Lang & Lit,Bachelor of Arts,3.381,21
2010-11,Clg of Letters & Science,L&S Arts & Humanities Division,Spanish & Portuguese,Spanish-Latin-Amer Lang & Lit,Bachelor of Arts,3.314076923,13
2010-11,Clg of Letters & Science,L&S Arts & Humanities Division,Spanish & Portuguese,Spanish-Hisp Lang/Biling Iss,Bachelor of Arts,3.476777778,9
2010-11,Clg of Letters & Science,L&S Arts & Humanities Division,Music,Music,Bachelor of Arts,3.4635,46
2010-11,Clg of Letters & Science,L&S Arts & Humanities Division,Theater Dance & Perf Stds,Theater & Perf Studies,Bachelor of Arts,3.394628571,35
2010-11,Clg of Letters & Science,L&S Arts & Humanities Division,Theater Dance & Perf Stds,Dance & Perf Studies,Bachelor of Arts,3.425888889,9
2010-11,Clg of Letters & Science,L&S Arts & Humanities Division,French,French,Bachelor of Arts,3.614707317,41
2010-11,Clg of Letters & Science,L&S Arts & Humanities Division,Classics,Classical Civilizations,Bachelor of Arts,3.38347619,21
2010-11,Clg of Letters & Science,L&S Arts & Humanities Division,Classics,Classical Languages,Bachelor of Arts,3.515166667,6
2010-11,Clg of Letters & Science,L&S Arts & Humanities Division,Comparative Literature,Comparative Literature,Bachelor of Arts,3.548428571,28
2010-11,Clg of Letters & Science,L&S Arts & Humanities Division,South & SE Asian Studies,South & SE Asian Studies,Bachelor of Arts,3.3047,20
2010-11,Clg of Letters & Science,L&S Arts & Humanities Division,German,German,Bachelor of Arts,3.577176471,17
2010-11,Clg of Letters & Science,L&S Arts & Humanities Division,Italian Studies,Italian Studies,Bachelor of Arts,3.690785714,14
2010-11,Clg of Letters & Science,L&S Arts & Humanities Division,Near Eastern Studies,Near Eastern Civilizations,Bachelor of Arts,3.47375,8
2010-11,Clg of Letters & Science,L&S Arts & Humanities Division,Near Eastern Studies,Near Eastern Lang & Lit,Bachelor of Arts,3.4898,5
2010-11,Clg of Letters & Science,L&S Arts & Humanities Division,Slavic Languages & Literatures,Slavic Lang & Lit,Bachelor of Arts,3.527,10
2010-11,Clg of Letters & Science,L&S Arts & Humanities Division,Scandinavian,Celtic Studies,Bachelor of Arts,3.646333333,6
2010-11,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,MCB-Cell & Dev Biology,Bachelor of Arts,3.4017,190
2010-11,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,MCB-Immunology,Bachelor of Arts,3.491188525,122
2010-11,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,MCB-Neurobiology,Bachelor of Arts,3.346943925,107
2010-11,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,MCB-Biochem & Mol Biol,Bachelor of Arts,3.497438596,57
2010-11,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,MCB-Genetics,Bachelor of Arts,3.4189,50
2010-11,Clg of Letters & Science,L&S Biological Sciences Div,Integrative Biology,Integrative Biology,Bachelor of Arts,3.290419786,374
2010-11,Clg of Letters & Science,L&S Administered Programs,L&S Public Health,L&S Public Health,Bachelor of Arts,3.435116162,198
2010-11,Clg of Letters & Science,L&S Administered Programs,L&S Social Welfare,L&S Social Welfare,Bachelor of Arts,3.30876378,127
2010-11,Clg of Letters & Science,L&S Administered Programs,L&S Legal Studies,L&S Legal Studies,Bachelor of Arts,3.115419355,124
2010-11,Clg of Letters & Science,L&S Administered Programs,L&S Envir Econ & Policy,L&S Environ Econ & Policy,Bachelor of Arts,2.998723577,123
2010-11,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science,Bachelor of Arts,3.202222222,117
2010-11,Clg of Letters & Science,L&S Administered Programs,L&S Chemistry,L&S Chemistry,Bachelor of Arts,3.34775,8
2010-11,Clg of Letters & Science,L&S Administered Programs,L&S Ops Rsch & Mgmt Sci,L&S Ops Research & Mgmt Sci,Bachelor of Arts,3.622125,8
2010-11,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,Media Studies,Bachelor of Arts,3.365549763,211
2010-11,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,Interdisciplinary Studies,Bachelor of Arts,3.220112782,133
2010-11,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,American Studies,Bachelor of Arts,3.151333333,108
2010-11,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,Religious Studies,Bachelor of Arts,3.409636364,22
2010-11,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,Mass Communications,Bachelor of Arts,3.238578947,19
2010-11,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,L&S Environmental Sciences,Bachelor of Arts,2.959,11
2010-11,Clg of Letters & Science,L&S Math & Phys Sciences Div,Mathematics,Applied Mathematics,Bachelor of Arts,3.314132743,113
2010-11,Clg of Letters & Science,L&S Math & Phys Sciences Div,Mathematics,Mathematics,Bachelor of Arts,3.326313953,86
2010-11,Clg of Letters & Science,L&S Math & Phys Sciences Div,Statistics,Statistics,Bachelor of Arts,3.313344086,93
2010-11,Clg of Letters & Science,L&S Math & Phys Sciences Div,Physics,Physics,Bachelor of Arts,3.373164835,91
2010-11,Clg of Letters & Science,L&S Math & Phys Sciences Div,Earth & Planetary Science,Environmental Earth Science,Bachelor of Arts,3.089636364,11
2010-11,Clg of Letters & Science,L&S Math & Phys Sciences Div,Earth & Planetary Science,Marine Science,Bachelor of Arts,3.044,10
2010-11,Clg of Letters & Science,L&S Math & Phys Sciences Div,Earth & Planetary Science,Geology,Bachelor of Arts,3.404333333,6
2010-11,Clg of Letters & Science,L&S Math & Phys Sciences Div,Earth & Planetary Science,Geophysics,Bachelor of Arts,3.2415,6
2010-11,Clg of Letters & Science,L&S Math & Phys Sciences Div,Astronomy,Astrophysics,Bachelor of Arts,3.2862,20
2010-11,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci,Bachelor of Science,3.307542308,260
2010-11,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Civil Engineering,Bachelor of Science,3.197459854,137
2010-11,Clg of Engineering,Clg of Engineering,Mechanical Engineering,Mechanical Engineering,Bachelor of Science,3.262901515,132
2010-11,Clg of Engineering,Clg of Engineering,Bioengineering,Bioengineering,Bachelor of Science,3.420899083,109
2010-11,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Research,Industrial Eng & Ops Rsch,Bachelor of Science,3.304302326,43
2010-11,Clg of Engineering,Clg of Engineering,Engineering Science,Engineering Physics,Bachelor of Science,3.518666667,15
2010-11,Clg of Engineering,Clg of Engineering,Engineering Science,Environmental Eng Science,Bachelor of Science,3.265666667,6
2010-11,Clg of Engineering,Clg of Engineering,Engineering Joint Programs,MSE/ME Joint Major,Bachelor of Science,3.094222222,9
2010-11,Clg of Engineering,Clg of Engineering,Materials Science & Eng,Materials Science & Eng,Bachelor of Science,3.184375,16
2010-11,Clg of Engineering,Clg of Engineering,Nuclear Engineering,Nuclear Engineering,Bachelor of Science,3.2523,10
2010-11,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Conserv & Resource Stds,Bachelor of Science,3.363184211,114
2010-11,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Molecular Environ Biology,Bachelor of Science,3.254112676,71
2010-11,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Society and Environment,Bachelor of Science,3.419711538,52
2010-11,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Environmental Sciences,Bachelor of Science,3.475057143,35
2010-11,Clg of Natural Resources,Clg of Natural Resources,Nutritional Sciences & Tox,Nut Sci-Physio & Metabol,Bachelor of Science,3.290638889,36
2010-11,Clg of Natural Resources,Clg of Natural Resources,Nutritional Sciences & Tox,Molecular Toxicology,Bachelor of Science,3.291735294,34
2010-11,Clg of Natural Resources,Clg of Natural Resources,Nutritional Sciences & Tox,Nutritional Sci-Dietetics,Bachelor of Science,3.455192308,26
2010-11,Clg of Natural Resources,Clg of Natural Resources,Ag & Resource Econ & Pol,Environ Econ & Policy,Bachelor of Science,3.343865672,67
2010-11,Clg of Natural Resources,Clg of Natural Resources,Plant & Microbial Biology,Microbial Biology,Bachelor of Science,3.171825,40
2010-11,Clg of Natural Resources,Clg of Natural Resources,Plant & Microbial Biology,Genetics & Plant Biology,Bachelor of Science,3.117315789,19
2010-11,Haas School of Business,Haas School of Business,Business,Business Administration,Bachelor of Science,3.530044818,357
2010-11,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,Bachelor of Arts,3.280051724,174
2010-11,Clg of Environmental Design,Clg of Environmental Design,City & Regional Planning,Urban Studies,Bachelor of Arts,3.451045455,22
2010-11,Clg of Environmental Design,Clg of Environmental Design,Landscape Arch & Env Plan,Landscape Architecture,Bachelor of Arts,3.5189,20
2010-11,Clg of Chemistry,Clg of Chemistry,Chemistry,Chemistry,Bachelor of Science,3.404942308,52
2010-11,Clg of Chemistry,Clg of Chemistry,Chemistry,Chemical Biology,Bachelor of Science,3.213745098,51
2010-11,Clg of Chemistry,Clg of Chemistry,Chem & Biomolecular Eng,Chemical Engineering,Bachelor of Science,3.156069767,86
2011-12,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Political Economy,Bachelor of Arts,3.241847162,229
2011-12,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Cognitive Science,Bachelor of Arts,3.271345679,81
2011-12,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Peace & Conflict Studies,Bachelor of Arts,3.56809589,73
2011-12,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Development Studies,Bachelor of Arts,3.297325,40
2011-12,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Pol Econ of Indust Soc,Bachelor of Arts,3.125444444,27
2011-12,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Latin American Studies,Bachelor of Arts,3.149,15
2011-12,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Asian Studies - China,Bachelor of Arts,3.587222222,9
2011-12,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Middle Eastern Studies,Bachelor of Arts,3.563222222,9
2011-12,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Asian Studies - Japan,Bachelor of Arts,3.646375,8
2011-12,Clg of Letters & Science,L&S Social Sciences Division,Economics,Economics,Bachelor of Arts,3.46337365,463
2011-12,Clg of Letters & Science,L&S Social Sciences Division,Political Science,Political Science,Bachelor of Arts,3.342222488,418
